None,ticker,datekey,date,revenue,eps,ebitda,netinc,roe,evebitda,fcfps,pb,pe,marketcap,ebit,currentratio,capex,ncfo,equity,de,year
206,XRX,2001-06-27,2000-12-31,18701000000.0,-1.76,582000000.0,-257000000.0,-0.062,38.37,-6.158,1.711,-23.251,5975533693.0,-366000000.0,2.078,-408000000.0,-663000000.0,3493000000.0,7.438,2000
207,XRX,2001-06-07,2000-12-31,18701000000.0,-1.76,582000000.0,-257000000.0,-0.062,39.018,-6.171,1.819,-24.718,6352523496.0,-366000000.0,2.078,-408000000.0,-663000000.0,3493000000.0,7.438,2000
208,XRX,2000-03-27,1999-12-31,19228000000.0,8.36,2990000000.0,1424000000.0,0.307,10.96,4.379,3.654,12.602,17945185612.0,2055000000.0,1.508,-495000000.0,1224000000.0,4911000000.0,4.867,1999
209,XRX,1999-03-22,1998-12-31,19449000000.0,2.12,1423000000.0,395000000.0,0.088,35.342,-10.053,7.288,89.619,35399335407.0,602000000.0,1.466,-492000000.0,-1165000000.0,4857000000.0,5.182,1998
210,XRAY,2025-02-27,2024-12-31,3793000000.0,-4.48,-518000000.0,-910000000.0,-0.338,-10.36,1.383,1.757,-3.75,3412712165.0,-867000000.0,1.099,-180000000.0,461000000.0,1942000000.0,1.962,2024
211,XRAY,2024-02-29,2023-12-31,3965000000.0,-0.62,249000000.0,-132000000.0,-0.038,34.882,1.108,2.058,-51.338,6776631860.0,-94000000.0,1.385,-142000000.0,377000000.0,3293000000.0,1.238,2023
212,XRAY,2023-03-01,2022-12-31,3922000000.0,-4.41,-667000000.0,-950000000.0,-0.215,-14.654,1.708,2.111,-8.469,8045920920.0,-995000000.0,1.618,-149000000.0,517000000.0,3811000000.0,1.005,2022
213,XRAY,2022-03-01,2021-12-31,4251000000.0,1.93,960000000.0,421000000.0,0.084,14.299,2.358,2.346,28.091,11826251911.0,614000000.0,1.549,-142000000.0,657000000.0,5042000000.0,0.828,2021
214,XRAY,2021-03-01,2020-12-31,3342000000.0,-0.38,322000000.0,-83000000.0,-0.017,46.734,2.505,2.633,-157.583,13079385816.0,-12000000.0,1.36,-86000000.0,635000000.0,4967000000.0,0.88,2020
215,XRAY,2020-03-02,2019-12-31,4029200000.0,1.18,697400000.0,262900000.0,0.051,17.414,2.307,2.159,41.82,10994444712.0,374600000.0,2.009,-118100000.0,632800000.0,5092500000.0,0.689,2019
